,title,link,source,date,thumbnail,query,lang,country,termid
0,"Véran : ""On a le droit à la sécurité alimentaire dans notre pays""",https://www.bfmtv.com/replay-emissions/l-interview/veran-on-a-le-droit-a-la-securite-alimentaire-dans-notre-pays_VN-202205120178.html,BFMTV,Il y a 5 heures,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRude-iYsw3decl5jnrhDUhSs7tBqYIZ1wqUS5r0-68jhms8J3WvlNliwI&usqp=CAI&s,Sécurité alimentaire,fr,FR,54
1,Le chef de l'ONU appelle à assurer la sécurité alimentaire mondiale,https://www.lecourrier.vn/le-chef-de-lonu-appelle-a-assurer-la-securite-alimentaire-mondiale/983964.html,Le Courrier du VietNam,Il y a 3 heures,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROaKNti2Xz0gDWMagSzOKW2ZsRiCynBwRdjV1mEOqPs780YRqrt3WlsTE&usqp=CAI&s,Sécurité alimentaire,fr,FR,54
2,Sécurité alimentaire : « Il faut produire mieux et non pas produire plus »,https://www.lemonde.fr/idees/article/2022/04/22/securite-alimentaire-il-faut-produire-mieux-et-non-pas-produire-plus_6123254_3232.html,Le Monde,Il y a 3 semaines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcvFuAF5NU3VPBZ55JQuTo6_orBotcylqyRkZf3kRGV1ENlxsLqhCPRQyI&usqp=CAI&s,Sécurité alimentaire,fr,FR,54
3,Sécurité alimentaire : la France cherche un soutien international à son initiative FARM,https://www.lemonde.fr/planete/article/2022/04/12/securite-alimentaire-la-france-cherche-un-soutien-international-a-son-initiative-farm_6121882_3244.html,Le Monde,Il y a 1 mois,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6bcse-JKDfgpdONcPIvFNV3HOJd3wxWlvUNMhn7xEJchmNtzvQHyZTt0&usqp=CAI&s,Sécurité alimentaire,fr,FR,54
0,Amazon mise sur 100 % d’énergie renouvelable d’ici 2025,https://www.alliancy.fr/amazon-energie-renouvelable-2025,"Alliancy, le mag Numérique et Business",Il y a 2 jours,https://serpapi.com/searches/627cffef95bf92fe76d920b6/images/40894bf1e1a5d3e9a64297f1a706069b9d56c8f37262ddef.jpeg,Énergie renouvelable,fr,FR,58
1,Les énergies renouvelables vont générer plus de 14 milliards d'euros de revenus pour l'État sur deux ans,https://www.novethic.fr/actualite/energie/energies-renouvelables/isr-rse/les-eoliennes-terrestres-stigmatisees-dans-un-nouvel-article-de-loi-150588.html,Novethic,Il y a 2 jours,https://serpapi.com/searches/627cffef95bf92fe76d920b6/images/40894bf1e1a5d3e97685ce82d0d261ad9a763b71f2ea2ada.jpeg,Énergie renouvelable,fr,FR,58
2,LEAK : la Commission européenne envisage de revoir son objectif 2030 pour les énergies renouvelables à la hausse,https://www.euractiv.fr/section/energie/news/leak-la-commission-europeenne-envisage-de-revoir-son-objectif-2030-pour-les-energies-renouvelables-a-la-hausse/,EURACTIV.fr,Il y a 1 jour,https://serpapi.com/searches/627cffef95bf92fe76d920b6/images/40894bf1e1a5d3e9935a66f19d5b62775b45fda00a1e4fc5.jpeg,Énergie renouvelable,fr,FR,58
0,Allergies aux pollens : pourquoi le réchauffement climatique a un impact sur leur gravité et leur durée,https://www.francetvinfo.fr/monde/environnement/crise-climatique/allergies-aux-pollens-pourquoi-le-rechauffement-climatique-a-un-impact-sur-leur-gravite-et-leur-duree_5129362.html,Franceinfo,Il y a 7 heures,https://serpapi.com/searches/627cfff22ff421d0610e8854/images/cc6e67c5a1a4c5fd57c0971c18098381f458d70b80687812.jpeg,Changement climatique,fr,FR,59
1,"Sécheresse : la France est dans une ""phase critique"" du réchauffement climatique",https://www.france24.com/fr/france/20220510-s%C3%A9cheresse-la-france-est-entr%C3%A9e-dans-une-phase-critique-du-r%C3%A9chauffement-climatique,France 24,Il y a 1 jour,https://serpapi.com/searches/627cfff22ff421d0610e8854/images/cc6e67c5a1a4c5fde0e1215b67bf3fb7c3502157c7a5c0a2.jpeg,Changement climatique,fr,FR,59
2,"Le réchauffement climatique, enjeu croissant pour la disponibilité du parc nucléaire",https://www.lemonde.fr/economie/article/2022/05/12/le-rechauffement-climatique-enjeu-croissant-pour-la-disponibilite-du-parc-nucleaire_6125753_3234.html,Le Monde,Il y a 4 heures,https://serpapi.com/searches/627cfff22ff421d0610e8854/images/cc6e67c5a1a4c5fdc3d13008606ada11b727b0095b57aab0.jpeg,Changement climatique,fr,FR,59
3,Changement climatique : BlackRock fait un pas en arrière,https://www.lemonde.fr/economie/article/2022/05/12/changement-climatique-blackrock-fait-un-pas-en-arriere_6125754_3234.html,Le Monde,Il y a 4 heures,https://serpapi.com/searches/627cfff22ff421d0610e8854/images/cc6e67c5a1a4c5fdf71e9c21693d7974c486b2f825d7951a.jpeg,Changement climatique,fr,FR,59
0,Le secteur agricole et forestier : émetteur et capteur de gaz à effet de serre,https://agriculture.gouv.fr/le-secteur-agricole-et-forestier-emetteur-et-capteur-de-gaz-effet-de-serre,Ministère de l'Agriculture,Il y a 2 jours,https://serpapi.com/searches/627cfff9aa6c95b57f9992ac/images/6a8dca69c78b00f6aff656a5e51cd87511c472d1a88cc4e0.jpeg,Gaz à effet de serre,fr,FR,66
1,"Le bâtiment et les transports, plus gros émetteurs de gaz à effet de serre - Polynésie la 1ère",https://la1ere.francetvinfo.fr/polynesie/tahiti/polynesie-francaise/le-batiment-et-les-transports-gros-emetteurs-de-gaz-a-effet-de-serre-1282340.html,Outre-mer la 1ère,Il y a 1 jour,https://serpapi.com/searches/627cfff9aa6c95b57f9992ac/images/6a8dca69c78b00f6aea76edf1291bccf4647421b9a58eae3.jpeg,Gaz à effet de serre,fr,FR,66
2,"Vodacom s'engage à réduire de 50% ses émissions de gaz à effet de serre, d'ici 2025",https://www.agenceecofin.com/transition-energetique/1005-97468-vodacom-sengage-a-reduire-de-50-ses-emissions-de-gaz-a-effet-de-serre-dici-2025,Agence Ecofin,Il y a 1 jour,,Gaz à effet de serre,fr,FR,66
0,Infection urinaire : voici la raison pour laquelle certaines femmes en ont à répétition,https://www.femmeactuelle.fr/sante/news-sante/infection-urinaire-voici-la-raison-pour-laquelle-certaines-femmes-en-ont-a-repetition-2134249,Femme Actuelle,Il y a 23 heures,https://serpapi.com/searches/627cfffbe135084884e0abb4/images/c4680bca0cd3180e6d66491cd8d8955455b793e9ef006db9.jpeg,Infection,fr,FR,68
1,"Qu'est-ce que la maladie du renard, à la fois rare et dangereuse ?",https://www.cnews.fr/sante/2022-05-12/quest-ce-que-la-maladie-du-renard-la-fois-rare-et-dangereuse-1214085,CNEWS,Il y a 6 heures,https://serpapi.com/searches/627cfffbe135084884e0abb4/images/c4680bca0cd3180e4c33e5ae9985085c435080e0469f6f14.jpeg,Infection,fr,FR,68
2,Covid : à la recherche de personnes jamais infectées par le virus pour étudier leur mystérieuse résistance,https://www.midilibre.fr/2022/05/11/covid-a-la-recherche-de-personnes-jamais-infectees-par-le-virus-pour-etudier-leur-mysterieuse-resistance-10288424.php,Midi Libre,Il y a 1 jour,https://serpapi.com/searches/627cfffbe135084884e0abb4/images/c4680bca0cd3180e5ef1bb5432b2dc41f31be4cfb02bd253.jpeg,Infection,fr,FR,68
3,Contagion Covid : ce nouveau traitement peut bloquer le processus à l'origine des infections,https://www.science-et-vie.com/corps-et-sante/contagion-covid-nouveau-traitement-bloquer-processus-a-lorigine-infections-85975.html,Science & Vie,Il y a 18 heures,https://serpapi.com/searches/627cfffbe135084884e0abb4/images/c4680bca0cd3180e0099993b3c4339c898a4624fac798e14.jpeg,Infection,fr,FR,68
0,"En images, l'Alaska fait face à des inondations historiques",https://www.parismatch.com/Actu/Environnement/En-images-l-Alaska-fait-face-a-des-inondations-historiques-1804536,Paris Match,Il y a 2 jours,https://serpapi.com/searches/627cffffd5ecf45784f4ccf8/images/fec5c37fc072d75174a359e53c1c25b2382d7f6e17c9d417.jpeg,Inondation,fr,FR,70
1,Inondations en Guadeloupe : L'état de catastrophe naturelle reconnu pour quatre communes,https://www.20minutes.fr/planete/3288335-20220511-inondations-guadeloupe-etat-catastrophe-naturelle-reconnu-quatre-communes,20 Minutes,Il y a 15 heures,https://serpapi.com/searches/627cffffd5ecf45784f4ccf8/images/fec5c37fc072d751a50361e380852fdafd803e9e64bedc81.jpeg,Inondation,fr,FR,70
2,Inondations en Guadeloupe : plusieurs communes en état de catastrophe naturelle,https://www.tf1info.fr/international/inondations-en-guadeloupe-l-etat-de-catastrophe-naturelle-reconnu-dans-plusieurs-communes-2219490.html,TF1 INFO,Il y a 8 heures,https://serpapi.com/searches/627cffffd5ecf45784f4ccf8/images/fec5c37fc072d751911687859c92d4f4328780d2ef89170f.jpeg,Inondation,fr,FR,70
0,Sécheresse : pourquoi les prochaines pluies ne seront pas suffisantes ?,https://actualite.lachainemeteo.com/actualite-meteo/2022-05-12/secheresse-pourquoi-les-prochaines-pluies-ne-seront-pas-suffisantes-63307,Actualités Météo,Il y a 3 heures,https://serpapi.com/searches/627d0001629a01f803d9ec05/images/cc63a08c843fc6b5569477d1ab06769c4020e88de8525334.jpeg,Sécheresse,fr,FR,71
1,Sécheresse : sept cartes pour comprendre les conséquences dans les départements français,https://www.lefigaro.fr/sciences/secheresse-sept-cartes-pour-comprendre-les-consequences-dans-les-departements-francais-20220511,Le Figaro,Il y a 20 heures,https://serpapi.com/searches/627d0001629a01f803d9ec05/images/cc63a08c843fc6b5742a61c9a0497832eac088e1eb5d2374.jpeg,Sécheresse,fr,FR,71
2,CARTE. Sécheresse : allez-vous manquer d'eau dans votre région ?,https://www.ouest-france.fr/meteo/secheresse/carte-secheresse-allez-vous-manquer-d-eau-dans-votre-region-a6630122-d037-11ec-87e1-8d9db460936d,Ouest-France,Il y a 1 jour,https://serpapi.com/searches/627d0001629a01f803d9ec05/images/cc63a08c843fc6b55e99aed2e332a07f5e4a04f17710d0c4.jpeg,Sécheresse,fr,FR,71
3,"Sécheresse : ""Ce n'est plus possible"", s'alarme un agriculteur de l'Ain face aux restrictions d'eau",https://www.francetvinfo.fr/meteo/secheresse/secheresse-ce-n-est-plus-possible-s-alarme-un-agriculteur-de-l-ain-face-aux-restrictions-d-eau_5131906.html,Franceinfo,Il y a 22 heures,https://serpapi.com/searches/627d0001629a01f803d9ec05/images/cc63a08c843fc6b5670838901aa8388111ffea03f20f8281.jpeg,Sécheresse,fr,FR,71
4,Pourquoi les épisodes de forte sécheresse en France ne font que commencer,https://www.nouvelobs.com/ecologie/20220511.OBS58283/pourquoi-les-episodes-de-forte-secheresse-en-france-ne-font-que-commencer.html,L'Obs,Il y a 23 heures,https://serpapi.com/searches/627d0001629a01f803d9ec05/images/cc63a08c843fc6b5d718839b346d2b201d2ee37564831c8a.jpeg,Sécheresse,fr,FR,71
5,Sécheresse : une situation différente de celle de 1976,https://actualite.lachainemeteo.com/actualite-meteo/2022-05-12/secheresse-une-situation-differente-de-celle-de-1976-63302,Actualités Météo,Il y a 21 heures,https://serpapi.com/searches/627d0001629a01f803d9ec05/images/cc63a08c843fc6b5948b9bb4a6ede207210eed85ea72665f.jpeg,Sécheresse,fr,FR,71
6,Sécheresse : les agriculteurs se rationnent,https://www.tf1.fr/player/2d38eb5b-ac5e-4c66-b1ca-3bc3c31c58c8,TF1,Il y a 19 minutes,https://serpapi.com/searches/627d0001629a01f803d9ec05/images/cc63a08c843fc6b522ddfd48a7826c2526c47ac889d90e67.jpeg,Sécheresse,fr,FR,71
0,Guterres destaca el impacto negativo de la guerra en Ucrania en la seguridad alimentaria global,https://www.lanacion.com.ar/agencias/guterres-destaca-el-impacto-negativo-de-la-guerra-en-ucrania-en-la-seguridad-alimentaria-global-nid11052022/,La Nación,hace 17 horas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOofp4lu0Cd75e0jkatBjUA1CukBt8PS6yRc6q43YEyU2-6RvOJxXi0Mo&usqp=CAI&s,Seguridad alimentaria,es,AR,54
0,"""Hoy la energía renovable es competitiva y, en este contexto, su demanda se acelera""",https://www.ambito.com/ambito-biz/ambito-debate/hoy-la-energia-renovable-es-competitiva-y-este-contexto-su-demanda-se-acelera-n5436035,Ámbito,hace 1 día,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJaj3cG7g02nlkBZpY3tr9yIdx0ZREffjiyALpRq4&usqp=CAI&s,Energía renovable,es,AR,58
1,"En 2035, la energía en Alemania será 100% renovable",https://tradenews.com.ar/en-2035-la-energia-en-alemania-sera-100-renovable/,Trade News,hace 2 días,,Energía renovable,es,AR,58
2,Por qué las industrias brasileñas contratan ...,https://www.bnamericas.com/es/reportajes/por-que-las-industrias-brasilenas-contratan-energia-renovable,BNamericas,hace 2 días,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsFrq5YWQvAp6c1ljHCdANUuANsz-bNJnhPIcTXj9QAVSCXu1FXyGtR64&usqp=CAI&s,Energía renovable,es,AR,58
0,"Hay un 50% de probabilidades de que el calentamiento global supere los 1,5ºC en los próximos cinco años",https://news.un.org/es/story/2022/05/1508392,UN News,hace 2 días,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8ERqxi4Hv-qbso-yLn6Kf5coLEbMcj_zU9hphwupvCypoKsNj7SNFYjJmrQ&usqp=CAI&s=10,Calentamiento global,es,AR,59
1,Existe una probabilidad de 50/50 de que el mundo sobrepase el umbral crítico de calentamiento global en los próximos cinco años,https://cnnespanol.cnn.com/2022/05/10/estudio-aumento-temperatura-calentamiento-trax/,CNN Español,hace 1 día,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCa8DnN47_H0znMtcmLhf8ruGq5btWzsnIjA3CD2jredRp5T0Lrl-5GBs&usqp=CAI&s,Calentamiento global,es,AR,59
2,Alarmante: la Tierra llegó al límite de aumento no deseado de la temperatura,https://www.ambito.com/informacion-general/cambio-climatico/alarmante-la-tierra-llego-al-limite-aumento-no-deseado-la-temperatura-n5436329,Ámbito,hace 1 día,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1oIQiJ3VRnNMsH-XhvyTlTFnXuWXZxqnOWt9i81w&usqp=CAI&s,Calentamiento global,es,AR,59
3,Nuevas predicciones corroboran el calentamiento global,https://www.laizquierdadiario.com/Nuevas-predicciones-corroboran-el-calentamiento-global,La Izquierda Diario,hace 20 horas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlZjkkHcEwBoripOZ1r6lXJePa_qxnUvW4v713rBPh_BXoL6GHrXNjlQfd&usqp=CAI&s,Calentamiento global,es,AR,59
4,"Aumenta drásticamente la probabilidad de alcanzar la barrera de 1,5 °C",https://www.meteored.com.ar/noticias/actualidad/aumenta-la-probabilidad-de-alcanzar-la-barrera-de-1-5-c-cambio-climatico-omm.html,Meteored,hace 1 día,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTos8F3me0KPl5FY9aSrNitz29kof_6F78_pnKHD-1o_wlKrD4YvTpa4K0&usqp=CAI&s,Calentamiento global,es,AR,59
5,Calentamiento global: aseguran que los glaciares flotantes no pueden recuperarse,https://www.ambito.com/informacion-general/cambio-climatico/calentamiento-global-aseguran-que-los-glaciares-flotantes-no-pueden-recuperarse-n5436208,Ámbito,hace 1 día,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDYNluJVDZwwXByaevZ3-h4S7c42fayR4Rg2pM1vuf-nw7W9Gp6F7gPmU&usqp=CAI&s,Calentamiento global,es,AR,59
6,El calentamiento global provoca que los océanos pierdan la memoria y suba la temperatura,https://www.infobae.com/america/medio-ambiente/2022/05/09/el-calentamiento-global-provoca-que-los-oceanos-pierdan-la-memoria-y-suba-la-temperatura/,Infobae,hace 2 días,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNIxQj0Ne70suDc_zpJhw9YOCojIZAYoIhTm0Rmj0Y5te7Yut1oHwNlbM&usqp=CAI&s,Calentamiento global,es,AR,59
0,Descubren una forma de bloquear la infección por COVID-19,https://www.lasexta.com/tecnologia-tecnoxplora/ciencia/descubren-forma-bloquear-infeccion-covid19_20220511627b9ba52632cd00018b5057.html,laSexta,hace 1 día,https://serpapi.com/searches/627d001b37b24a99eaa701cd/images/cdbdb9ef695a02ed2bd5806ba99023320f06e69de6a61af3.jpeg,Infección,es,AR,68
1,Alerta sanitaria: retirada total de estos populares cosméticos por la infección de una bacteria,https://www.elespanol.com/ciencia/salud/20220509/alerta-sanitaria-retirada-populares-cosmeticos-infeccion-bacteria/671182942_0.html,El Español,hace 3 días,https://serpapi.com/searches/627d001b37b24a99eaa701cd/images/cdbdb9ef695a02edb6fbaaca751ef7b3949bdbff88f6829d.jpeg,Infección,es,AR,68
2,Los expertos de Harvard explicaron cómo las vacunas generan mecanismos múltiples para proteger contra el COVID-19,https://www.infobae.com/america/ciencia-america/2022/05/11/los-expertos-de-harvard-explicaron-como-las-vacunas-generan-mecanismos-multiples-para-proteger-contra-el-covid-19/,Infobae,hace 17 horas,https://serpapi.com/searches/627d001b37b24a99eaa701cd/images/cdbdb9ef695a02edc4f3dfa5cb3e268bdf18d575315e9520.jpeg,Infección,es,AR,68
3,¿Puedo consumir alcohol si estoy tomando antibióticos? 5 mitos y verdades sobre estos medicamentos,https://www.lavanguardia.com/vivo/lifestyle/20220511/8260176/consumir-alcohol-tomando-antibioticos-mitos-verdades-nbs.html,La Vanguardia,hace 18 horas,https://serpapi.com/searches/627d001b37b24a99eaa701cd/images/cdbdb9ef695a02ed7ca49dd8a3d7cf57eab6fa55cac5eae6.jpeg,Infección,es,AR,68
0,Insólita inundación en sintético y efecto de cama de agua,https://www.ole.com.ar/fuera-de-juego/cancha-inundada-sintetico-italia_0_ewl9WGmUqq.html,Olé,hace 1 día,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo4yXlt5xiwDwK6opGvpfQW7fOw4Ix0YOU5Of37-zL0njCYpVsea0tRp0&usqp=CAI&s,Inundación,es,AR,70
1,Inundaciones bonaerenses: hay 80 mil hectáreas inundadas en Carlos Casares y los productores se reunirán el sábado,https://tn.com.ar/campo/2022/05/11/hay-80-mil-hectareas-inundadas-en-carlos-casares-y-los-productores-se-reuniran-el-sabado/,TN,hace 1 día,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGRU02pyZtiPdwHM5avvqmXbwNXtMGqWjCnTzXkk6di8UjN3wEkOtsigc&usqp=CAI&s,Inundación,es,AR,70
2,Inundación repentina provoca derrumbe de un puente en el norte de Pakistán,https://www.france24.com/es/minuto-a-minuto/20220510-inundaci%C3%B3n-repentina-provoca-derrumbe-de-un-puente-en-el-norte-de-pakist%C3%A1n,France 24,hace 1 día,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXL_h5HF9LqmmAlaWmb3Hm3NlFnXX-Nz0rBDcZlO995V7aLEM3gpBnOOc&usqp=CAI&s,Inundación,es,AR,70
